"warddiv","n_apps","n_req","n_mailed","n_ret","n_reg","turnout_16"
"34-11",293.142206448853,293.142206448853,277.178748691929,182.30466584637,664,488
"34-12",348.134244706246,348.134244706246,325.019374657997,234.195604389064,693,572
"34-13",286.161677930444,286.161677930444,270.618497515133,181.744476591442,626,461
"34-14",335.573111965417,335.573111965417,319.127893059751,211.751612935863,695,578
"34-15",310.653712582884,310.653712582884,297.759485013769,193.019551479238,666,498
"34-16",229.81214144747,229.81214144747,219.629269480094,138.686962143573,545,372
"34-17",269.086660806918,269.086660806918,257.317635429749,164.1846996275,641,491
"34-18",273.383899251428,273.383899251428,264.414024406212,174.073744804702,636,468
"34-19",402.353131003649,402.353131003649,380.419084986425,265.016757419656,831,638
"34-20",354.386878285906,354.386878285906,336.063201040063,210.344391526456,794,574
"34-21",345.05358731077,345.05358731077,333.86827842922,220.137833122308,788,597
"34-22",300.831919630635,300.831919630635,284.84631058574,201.293673579674,629,461
"34-23",341.301748283141,341.301748283141,328.1884489656,235.553428565307,639,480
"34-24",347.804912972695,347.804912972695,322.269006672224,232.142442403225,660,547
"34-25",355.521803427018,355.521803427018,341.897074521179,228.82662188873,741,704.834862385321
"34-26",171.847999030064,171.847999030064,166.08930332244,110.578951155949,396,275
"34-27",240.82485968741,240.82485968741,233.361011209703,153.645442404245,548,450
"34-28",248.277235232361,248.277235232361,238.619886841888,156.275813588564,548,419
"34-29",286.935116764766,286.935116764766,272.611709737352,180.360777771996,616,448
"34-30",258.534769507472,258.534769507472,249.910111680422,168.468089534788,565,442
"34-31",311.853305843867,311.853305843867,300.00789986325,206.234755793346,667,523
"34-32",241.260622639989,241.260622639989,234.75255909147,151.814958888233,500,389
"34-33",303.195027486066,303.195027486066,287.320442047151,189.735505895628,619,463
"34-34",291.82724604722,291.82724604722,278.287849863233,196.655547410402,552,438
"34-35",173.895633398733,173.895633398733,168.448282682044,117.165915340061,401,310
"34-36",165.470219449809,165.470219449809,157.104166628407,96.9739955189755,412,287
"34-37",218.450293463574,218.450293463574,207.924170580251,140.35615994632,498,404
"34-38",197.774902946845,197.774902946845,191.32333948556,122.84294912017,487,312
"34-39",280.295437830036,280.295437830036,268.989125982562,178.542911268165,599,468
"34-40",234.843918121316,234.843918121316,225.839688516763,160.59184289275,544,406
"34-41",353.112775579097,353.112775579097,332.543084756525,210.992039065106,730,547
"34-42",192.220184301518,192.220184301518,184.814239189987,119.042836788477,446,342
"35-01",304.169308516317,304.169308516317,300.969308516317,193.059038874456,727,494
"35-02",245.269649572345,245.269649572345,238.152982905679,141.308480728852,707,487
"35-03",258.64547179276,258.64547179276,253.39547179276,169.191737631741,567,401
"35-04",200.802771578043,200.802771578043,196.21943824471,114.414950794724,496,326
"35-05",489.450105579083,489.450105579083,484.783438912417,332.322348956665,781,555
"35-06",254.22852651933,254.22852651933,249.895193185997,150.778562107786,585,481
"35-07",333.464268004793,333.464268004793,325.880934671459,216.681577636215,775,554
"35-08",220.666346370571,220.666346370571,216.583013037237,143.540814026596,500,383
"35-09",318.963994174034,318.963994174034,308.374877214375,204.075187142228,809,588
"35-10",228.911255631203,228.911255631203,227.350591064594,144.371972699251,554,427
"35-11",206.693857331572,206.693857331572,198.627807133421,126.358652575958,599,421
"35-12",218.949646064341,218.449646064341,209.666312731007,131.444086469778,569,403
"35-13",227.008051349795,227.008051349795,222.933058970972,125.124900924703,660,508
"35-14",150.846052230464,150.846052230464,147.796158926938,81.4819462791722,445,306
"35-15",162.921999382907,162.921999382907,157.681888306078,87.2369998971511,468,312
"35-16",176.999862818819,176.999862818819,170.936353012905,95.7256274768824,549,363
"35-17",182.870793957254,182.870793957254,176.306267994445,105.405504183179,574,417
"35-18",176.234205534668,176.234205534668,169.668866646344,92.1660722148833,583,407
"35-19",172.191952037395,172.191952037395,165.132710090438,99.2701453104359,532,412
"35-20",201.11176032246,201.11176032246,198.550181214646,103.383861734919,548,389
"35-21",216.586110828845,216.586110828845,207.013963689327,131.187912813738,633,452
"35-22",222.275336178573,222.275336178573,218.702579344918,138.195838837517,640,402
"35-23",183.121932531112,183.121932531112,177.069788131235,100.823099866296,590,367
"35-24",180.542795433508,180.542795433508,176.579306798313,111.523799238918,535,285
"35-25",197.527139857061,197.527139857061,193.974604545609,122.51629238221,467,343
"35-26",148.834102128973,148.834102128973,141.227247248792,76.9050884500669,454,366
"35-27",143.445887951766,143.445887951766,141.906359448566,87.8305372082783,347,229
"35-28",151.969506825187,151.969506825187,143.914024658741,84.4712681638045,482,370
"35-29",180.976164763962,180.976164763962,174.185822277075,112.47102746066,462,318
"35-30",201.638655764682,201.638655764682,191.363360074051,121.192553738558,477,303
"35-31",175.364232970904,175.364232970904,170.811596043762,97.4342800528402,455,320
"35-32",256.428899604968,256.428899604968,244.312232938301,159.007255892855,529,392
"36-01",262.393626498218,262.393626498218,251.276886945254,178.905559604794,477,363
"36-02",270.185973436994,270.185973436994,261.91710803369,192.368442257856,515,352
"36-03",264.597934888241,264.597934888241,255.995310981535,183.433479105928,532,367
"36-04",194.088168124393,194.088168124393,188.910410592809,125.713380709427,416,252
"36-05",292.25869776482,292.25869776482,279.637767249757,202.766308309038,554,382
"36-06",290.83853255588,290.83853255588,281.463654033042,202.240403304179,616,433
"36-07",291.559588597344,291.559588597344,280.155021056041,205.974327826369,556,374
"36-08",309.596452866861,309.596452866861,298.322120991254,210.679063411079,625,337
"36-09",297.541836734694,297.541836734694,289.595323129252,219.471301020408,549,374
"36-10",297.07558842683,297.07558842683,284.403107265792,202.195739138525,561,344
"36-11",222.118545911248,222.118545911248,209.641478277049,146.302004837659,465,357
"36-12",244.716392222532,244.716392222532,235.238208205414,166.224253418923,465,252
"36-13",239.231486649921,239.231486649921,228.553423574286,147.973648711508,582,392
"36-14",165.989601554908,165.989601554908,163.376263362488,101.007883867833,445,318
"36-15",192.412317424877,192.412317424877,187.752395571681,124.299609265978,510,334
"36-16",251.759961127308,251.759961127308,242.457701652089,167.412427113703,515,358
"36-17",224.691415613865,224.691415613865,217.376376741173,134.561682053774,468,296
"36-18",257.899344023324,257.899344023324,249.720590379009,173.397430758017,544,310
"36-19",200.130660835763,200.130660835763,193.318476676385,138.499155733722,436,405
"36-20",240.727599611273,240.727599611273,235.778255587949,163.548773080661,492,309
"36-21",207.002348558471,207.002348558471,200.554037091027,141.901824182054,466,297
"36-22",175.418853255588,175.418853255588,168.323032069971,113.61749271137,425,290
"36-23",217.548275024295,217.548275024295,207.049052478134,137.010009718173,472,302
"36-24",147.580660835763,147.580660835763,141.701810009718,90.4229652575316,420,301
"36-25",247.271104632329,247.271104632329,236.73144233884,159.422110868157,591,343
"36-26",163.696355685131,163.696355685131,158.934232264334,107.582155004859,420,284
"36-27",184.736467444121,184.736467444121,177.283965014577,120.256620505345,516,371
"36-28",240.456778425656,240.456778425656,230.716994655005,148.609286929057,592,386
"36-29",270.801846452867,270.801846452867,261.480004859086,171.646319241982,559,344
"36-30",184.23250728863,184.23250728863,177.537172011662,114.49101068999,426,258
"36-31",280.319792678976,280.319792678976,268.263099287334,197.582448574668,590,374
"36-32",245.600874635569,245.600874635569,240.482069970845,148.140330417881,537,369
"36-33",227.473299319728,227.473299319728,218.732482993197,135.62925170068,601,399
"36-34",306.533965014577,306.533965014577,293.391812439261,196.253267735666,576,382
"36-35",342.467314544866,342.467314544866,332.621639131843,234.583754454163,664,507
"36-36",323.303838678328,323.303838678328,306.257616618076,217.001840379009,677,496
"36-37",378.348534175575,378.348534175575,361.9816367023,241.096904356981,744,507
"36-38",298.728134110787,298.728134110787,293.255988824101,209.017037172012,591,344
"36-39",363.677502429543,363.677502429543,353.113581146744,246.889662293489,699,463
"36-40",429.534912536443,429.534912536443,417.580126336249,309.307276482021,818,504
"36-41",215.774684159378,215.774684159378,204.492189018465,140.326342322643,477,294
"37-01",73.1894209543216,73.1894209543216,70.5764136525726,42.3835328578706,198,134
"37-02",157.720453387672,157.720453387672,147.806248938699,86.713920020377,504,312
"37-03",91.6685175751401,91.6685175751401,86.9211411105451,47.0798607573442,308,212
"37-04",154.630862625233,154.630862625233,148.518568517575,83.6886568177959,497,272
"37-05",115.350382068263,115.350382068263,112.121183562574,64.4647266089319,414,347
"37-06",83.5931142808626,83.5931142808626,81.8756325352352,42.0953345219902,317,208
"37-07",117.047902869757,117.047902869757,115.980022075055,67.0387969094923,449,298
"37-08",120.049804720666,120.049804720666,112.159543216166,63.9228434369163,393,283
"37-09",117.703812192223,117.703812192223,112.568772287315,59.8160129054169,363,267
"37-10",137.847181185261,137.847181185261,130.452971642045,68.9739429444727,425,327
"37-11",120.149949057565,120.149949057565,114.341619969435,59.7458142299202,389,300
"37-12",89.4843776532518,89.4843776532518,84.346790626592,45.9108082866361,353,273
"37-13",127.957590422822,127.957590422822,116.06529122092,55.7653464085583,394,291
"37-14",140.786975717439,140.786975717439,129.87417218543,80.5909492273731,532,393
"37-15",132.232648508734,132.232648508734,114.295690742836,61.8253710279523,449,331
"37-16",132.960881752319,132.960881752319,124.537625030892,69.979463716653,513,311
"37-17",100.99369162846,100.99369162846,95.6039395483104,46.5872176940058,364,274
"37-18",204.858543723417,204.858543723417,192.747934470155,118.726645725212,593,383
"37-19",121.972225257216,121.972225257216,112.868405717928,49.3434034416826,447,311
"37-20",138.166415629349,138.166415629349,128.063298474265,68.5384867522535,429,285
"37-21",144.405085753099,144.405085753099,136.644939718119,72.0873238240788,628,446
"38-01",147.142153348795,147.142153348795,140.613409234662,94.8632862463982,372,304
"38-02",240.069485574721,240.069485574721,230.569485574721,146.139220475246,658,497
"38-03",261.954426805068,261.954426805068,256.121093471735,161.592217473159,693,551
"38-04",189.127334249224,189.127334249224,184.460667582557,117.784282297868,504,420
"38-05",224.107528112756,224.107528112756,214.44086144609,141.096257568819,564,399
"38-06",215.077397852745,215.077397852745,205.577397852745,119.596478909072,594,464
"38-07",271.938375852133,271.938375852133,263.242061986085,179.170510928386,584,448
"38-08",250.769765970905,250.769765970905,234.396584440228,169.635452245414,512,391
"38-09",492.707313081324,492.707313081324,474.389009683585,314.682340575086,1042,709
"38-10",265.680537322546,265.680537322546,251.347203989213,155.701170304788,558,414
"38-11",328.131226784715,328.131226784715,319.131226784715,251.48404823691,427,376.878881987578
"38-12",413.913414756584,413.913414756584,398.539540977681,282.331466421694,727,424
"38-13",418.924600664639,418.924600664639,408.632267100389,330.579144704477,600,474
"38-14",302.07580946357,302.07580946357,296.548622029457,218.829404234812,543,443
"38-15",440.684582793691,440.684582793691,419.191723140869,276.226210555907,721,541.777777777778
"38-16",328.367056715159,328.367056715159,318.672359266287,228.624246257643,564,450
"38-17",329.248147865466,329.248147865466,320.914814532132,200.382834681728,707,477.121118012422
"38-18",357.948773724113,357.948773724113,347.948773724113,249.553516002646,541,440
"38-19",250.77035480859,250.77035480859,243.704341736695,173.978104575163,429,232.222222222222
"38-20",241.613915243517,241.613915243517,235.41119544592,168.755091714105,463,360
"38-21",213.655141708645,213.655141708645,205.488475041978,145.669974049763,555,408
"39-01",217.967729602554,217.967729602554,210.634396269221,143.309320945419,481,333
"39-02",155.666196718163,155.666196718163,149.849530051496,91.3261376595004,430,265
"39-03",207.518132930006,207.518132930006,206.984799596673,140.060853229621,638,444
"39-04",146.024460129401,146.024460129401,142.274460129401,89.8520040332745,415,284
"39-05",223.951199178941,223.951199178941,219.217865845607,161.840036251455,516,312
"39-06",143.413532476263,143.413532476263,140.663532476263,91.5120512081818,460,388
"39-07",234.694733935924,234.694733935924,230.444733935924,147.718917978081,723,579
"39-08",194.732425846568,194.732425846568,192.365759179901,136.638814265308,565,456
"39-09",160.787481844263,160.787481844263,158.170815177596,99.8817470320621,432,294
"39-10",289.729195025628,289.729195025628,282.062528358961,195.367983482781,642,362
"39-11",141.661440215108,141.661440215108,140.828106881775,91.5191322457897,359,213
"39-12",143.373762709016,143.373762709016,141.623762709016,84.5599199346994,397,252
"39-13",218.853155197042,218.853155197042,213.519821863709,151.585573241144,541,386
"39-14",107.040013444248,107.040013444248,104.706680110915,63.6802891713782,366,277
"39-15",216.706226367532,216.706226367532,213.506226367532,142.291362970699,662,503
"39-16",132.60051256197,132.60051256197,130.767179228636,81.4291794206969,387,256
"39-17",150.165355852449,150.165355852449,146.748689185783,90.4539486477727,422,266
"39-18",106.312431728426,106.312431728426,101.062431728426,57.0684348254048,264,208
"39-19",167.307096042349,167.307096042349,164.557096042349,98.3599199346994,388,251
"39-20",207.053571128477,207.053571128477,205.803571128477,131.206870671132,613,499
"39-21",219.359028653054,219.359028653054,217.025695319721,142.346131177452,638,480
"39-22",216.543489742759,216.543489742759,214.960156409425,133.492815729771,561,370
"39-23",139.820263003109,139.820263003109,135.486929669776,70.9380676293709,378,221
"39-24",281.792349382405,281.792349382405,278.959016049072,177.751366031666,761,520
"39-25",268.667288463154,268.667288463154,261.633955129821,183.006826557192,649,493
"39-26",356.980873155917,356.980873155917,347.530873155917,252.336476226488,671,479
"39-27",293.802310730191,293.802310730191,287.352310730191,208.148213235382,588,428
"39-28",267.49292316372,267.49292316372,260.74292316372,182.621785684276,633,373
